PlayerID,Year,Team,PlayerName,Age,HeightCm,WeightKg,Fitness,Speed,Strength,Agility
1,1950,Team A,Mark Johnson,28,193.8,96.2,92.6,93.7,98.2,93.7
2,1950,Team A,Donald Walker,31,190.1,89.1,60.1,62.4,90.7,58.8
3,1950,Team A,Noah Rhodes,30,186.0,76.6,75.9,58.4,66.0,64.8
4,1950,Team A,Steven Miller,20,193.8,83.5,73.4,87.6,74.7,77.9
5,1950,Team A,Javier Johnson,34,172.8,68.4,72.5,84.6,64.6,93.0
6,1950,Team A,Daniel Wagner,28,166.3,93.7,62.2,50.8,74.3,53.7
7,1950,Team A,Alexander Gonzalez,32,171.3,71.7,63.4,93.0,89.4,71.4
8,1950,Team A,Matthew Gardner,21,190.4,100.2,60.4,56.0,75.0,78.6
9,1950,Team A,Daniel Lawrence,34,170.1,63.9,96.9,82.5,86.0,77.3
10,1950,Team A,Robert Smith,33,181.4,80.9,73.5,77.0,61.1,56.1
11,1950,Team A,Robert Wolfe,27,171.5,81.9,86.8,96.7,80.0,85.8
12,1950,Team A,Gerald Moore,30,178.4,79.0,91.7,51.8,72.6,79.0
13,1950,Team A,Tyler Rogers,23,172.9,105.4,72.7,58.4,56.0,97.8
14,1950,Team A,Brandon Davis,32,197.5,103.2,72.0,76.3,56.3,60.9
15,1950,Team A,Ryan Munoz,21,196.4,97.4,61.2,90.1,69.5,76.3
16,1950,Team A,Robert Blair,33,194.1,83.5,73.1,78.2,92.5,56.0
17,1950,Team A,Joshua Dudley,21,187.8,68.0,87.9,99.2,67.2,88.3
18,1950,Team A,James Arnold,34,178.2,101.4,87.0,98.7,72.2,89.4
19,1950,Team A,Ronald Montgomery,29,175.1,100.8,74.6,81.2,72.7,56.8
20,1950,Team A,Scott Ray,20,167.1,75.9,65.1,57.6,58.4,86.7
21,1950,Team A,Michael Williams,32,179.7,82.7,61.3,92.1,99.2,77.8
22,1950,Team A,Darren Roberts,29,171.9,82.2,63.8,69.5,71.6,83.1
23,1950,Team A,Bobby Hall,24,173.6,77.1,90.6,64.9,76.9,80.6
24,1950,Team A,Brian Ramirez,26,199.5,96.1,96.7,84.2,93.7,61.8
25,1950,Team A,Mark Diaz,25,172.4,90.8,97.3,64.4,62.8,77.2
26,1950,Team C,Jacob Clark,21,184.4,103.5,79.8,50.4,86.4,62.5
27,1950,Team C,Derek Zuniga,21,165.9,90.0,70.8,65.9,91.0,59.3
28,1950,Team C,Matthew Lynch,30,191.9,72.0,83.5,83.0,63.7,76.6
29,1950,Team C,Christopher Daniel,35,176.3,80.8,97.1,73.0,54.5,67.1
30,1950,Team C,Christopher Gray,20,171.6,66.4,80.8,88.9,86.9,60.0
31,1950,Team C,William Bowman,35,191.8,106.2,98.1,92.0,53.4,72.3
32,1950,Team C,Justin Cohen,25,169.4,66.7,95.2,56.7,64.0,82.2
33,1950,Team C,Ryan Parsons,34,195.8,81.2,95.3,66.9,58.7,60.3
34,1950,Team C,Daryl Johnson,30,196.6,106.9,77.6,63.7,53.6,80.3
35,1950,Team C,Ethan Adams,23,185.6,104.2,97.7,82.4,63.2,97.3
36,1950,Team C,Daniel Hahn,22,182.8,99.3,64.7,50.8,89.4,89.2
37,1950,Team C,Shawn Edwards,22,170.2,97.6,73.0,83.8,68.0,82.6
38,1950,Team C,Matthew Foster,28,171.6,99.6,60.3,94.2,64.6,97.8
39,1950,Team C,Thomas Ellis,20,186.6,67.6,69.3,58.8,77.7,88.6
40,1950,Team C,Derek Wright,27,195.5,101.6,72.2,50.6,79.3,86.2
41,1950,Team C,Justin Baker,25,194.4,70.4,63.7,69.0,55.3,50.4
42,1950,Team C,Kevin Hurst,33,166.4,99.2,60.4,63.3,74.3,50.2
43,1950,Team C,James Robinson,35,191.0,75.1,87.8,84.3,70.9,52.3
44,1950,Team C,Zachary Hicks,21,165.5,83.8,67.5,99.4,94.8,62.9
45,1950,Team C,Brandon Williams,23,196.3,77.5,72.6,93.0,74.9,86.3
46,1950,Team C,Brian Burton,25,176.1,98.3,73.0,95.8,85.1,80.1
47,1950,Team C,Ricky Henderson,35,167.4,78.0,83.6,92.1,84.7,97.3
48,1950,Team C,Arthur James,23,192.2,72.9,97.4,92.5,56.7,94.8
49,1950,Team G,Zachary Rice,24,186.7,78.5,75.4,52.9,60.2,56.8
50,1950,Team G,Wesley Valencia,32,174.6,91.3,69.6,89.3,78.6,91.9
51,1950,Team G,Adam Le,29,193.6,77.8,76.8,71.9,70.2,80.5
52,1950,Team G,Michael Herrera,26,188.8,98.6,73.2,54.7,54.0,89.9
53,1950,Team G,Derek Davidson,26,191.4,111.0,82.0,60.3,83.1,81.1
54,1950,Team G,Brian Graham,25,198.1,67.8,99.5,86.7,97.7,62.7
55,1950,Team G,Jesse Mckay,35,186.0,87.5,84.5,88.1,53.5,57.5
56,1950,Team G,Shawn Baker,32,196.8,82.2,89.8,64.3,98.1,73.4
57,1950,Team G,Jonathan White,28,198.2,76.8,86.5,70.3,95.4,70.7
58,1950,Team G,Thomas Harrell,33,186.6,67.8,83.5,88.6,92.3,88.9
59,1950,Team G,Edwin Fowler,21,183.0,95.5,95.5,91.7,79.9,76.3
60,1950,Team G,Lee Hernandez,24,198.2,95.8,63.8,63.3,65.0,80.3
