PlayerID,PlayerName,HeightCm,Age,WeightKg,Fitness,Speed,Strength,Agility,Bio
1,Mark Johnson,193.8,33.2,96.0,85.6,79.1,77.4,71.9,can recite every line from Biff Tannen’s scenes.
2,Donald Walker,190.1,47.5,91.2,85.3,73.2,76.0,73.1,won his first trophy the same day the clock tower was struck by lightning.
3,Noah Rhodes,186.0,33.5,75.1,77.0,81.4,75.7,80.0,wears a replica of Marty McFly’s vest during warmups.
4,Steven Miller,193.8,23.5,82.3,76.9,76.4,81.5,78.4,believes the number 88 brings him good luck.
5,Javier Johnson,172.8,42.0,72.1,82.2,72.5,78.5,78.3,has a DeLorean-shaped locker.
6,Daniel Wagner,166.3,37.0,94.0,78.5,77.5,73.2,72.6,once tried out for the Hill Valley High Enchantment Under the Sea dance band.
7,Alexander Gonzalez,171.3,38.5,73.5,82.1,74.8,77.2,72.9,wears a replica of Marty McFly’s vest during warmups.
8,Matthew Gardner,190.4,24.5,98.4,78.9,78.1,79.1,72.3,won his first trophy the same day the clock tower was struck by lightning.
9,Daniel Lawrence,170.1,39.0,65.6,79.9,75.5,78.5,73.3,once tried out for the Hill Valley High Enchantment Under the Sea dance band.
10,Robert Smith,181.4,52.0,80.4,78.7,73.4,75.7,73.9,believes Goldie Wilson would’ve made a great football coach.
11,Robert Wolfe,171.5,57.5,81.9,76.0,75.9,80.5,72.8,believes the number 88 brings him good luck.
12,Gerald Moore,178.4,32.5,78.0,78.3,72.7,74.3,75.8,won his first trophy the same day the clock tower was struck by lightning.
13,Tyler Rogers,172.9,24.5,103.8,81.9,69.2,63.9,72.3,insists his pre-game playlist includes only Huey Lewis and the News.
14,Brandon Davis,197.5,55.0,102.1,79.1,74.4,79.7,71.4,wears a replica of Marty McFly’s vest during warmups.
15,Ryan Munoz,196.4,42.0,100.5,81.6,75.7,75.5,76.4,models his hairstyle after George McFly.
16,Robert Blair,194.1,36.5,80.5,76.5,75.3,73.4,71.4,has a DeLorean-shaped locker.
17,Joshua Dudley,187.8,30.5,68.8,84.5,74.6,71.1,77.8,practices his throws in the parking lot of Twin Pines Mall.
18,James Arnold,178.2,37.5,103.2,72.2,73.7,74.5,72.0,believes the number 88 brings him good luck.
19,Ronald Montgomery,175.1,32.5,99.9,74.2,76.6,64.5,71.2,refuses to play unless the stadium clock reads exactly 10:04.
20,Scott Ray,167.1,23.5,79.0,79.7,79.3,72.4,78.6,practices his throws in the parking lot of Twin Pines Mall.
21,Michael Williams,179.7,52.0,82.6,77.7,77.5,75.0,75.6,practices his throws in the parking lot of Twin Pines Mall.
22,Darren Roberts,171.9,34.0,83.0,84.0,73.7,68.6,67.0,claims he met Doc Brown in a dream and received football advice.
23,Bobby Hall,173.6,40.5,76.9,79.7,78.5,70.5,77.3,believes the number 88 brings him good luck.
24,Brian Ramirez,199.5,31.0,94.8,82.6,79.4,73.9,72.1,claims he met Doc Brown in a dream and received football advice.
25,Mark Diaz,172.4,30.0,89.5,82.7,72.1,76.0,66.9,trains by skateboarding through Hill Valley’s town square.
26,Jacob Clark,184.4,23.0,102.1,76.2,74.9,86.1,67.9,wears a replica of Marty McFly’s vest during warmups.
27,Derek Zuniga,165.9,46.0,88.1,83.7,73.6,74.8,71.3,won his first trophy the same day the clock tower was struck by lightning.
28,Matthew Lynch,191.9,49.5,71.6,84.8,74.2,72.2,76.1,can recite every line from Biff Tannen’s scenes.
29,Christopher Daniel,176.3,49.0,83.5,79.5,73.4,73.0,76.4,believes Goldie Wilson would’ve made a great football coach.
30,Christopher Gray,171.6,25.5,68.3,77.1,85.8,69.9,77.4,models his hairstyle after George McFly.
31,William Bowman,191.8,35.5,104.4,95.8,94.9,76.1,83.2,claims he met Doc Brown in a dream and received football advice.
32,Justin Cohen,169.4,27.0,66.5,89.6,75.3,83.3,82.3,won his first trophy the same day the clock tower was struck by lightning.
33,Ryan Parsons,195.8,36.0,80.7,85.2,79.6,74.4,78.0,won his first trophy the same day the clock tower was struck by lightning.
34,Daryl Johnson,196.6,32.0,104.9,84.2,82.7,72.2,75.6,once tried out for the Hill Valley High Enchantment Under the Sea dance band.
35,Ethan Adams,185.6,41.5,102.4,81.0,76.7,72.1,76.8,practices his throws in the parking lot of Twin Pines Mall.
36,Daniel Hahn,182.8,24.0,99.3,81.1,75.8,80.1,77.0,once tried out for the Hill Valley High Enchantment Under the Sea dance band.
37,Shawn Edwards,170.2,33.0,96.2,78.2,79.6,77.1,72.5,trains by skateboarding through Hill Valley’s town square.
38,Matthew Foster,171.6,51.0,101.6,81.2,77.9,76.9,76.9,refuses to play unless the stadium clock reads exactly 10:04.
39,Thomas Ellis,186.6,24.0,67.5,81.3,76.2,73.3,82.9,believes the number 88 brings him good luck.
40,Derek Wright,195.5,32.3,103.7,78.2,70.6,77.8,81.3,once tried out for the Hill Valley High Enchantment Under the Sea dance band.
41,Justin Baker,194.4,25.5,69.3,64.3,77.4,74.0,59.7,trains by skateboarding through Hill Valley’s town square.
42,Kevin Hurst,166.4,39.0,99.3,78.8,70.6,76.2,78.2,practices his throws in the parking lot of Twin Pines Mall.
43,James Robinson,191.0,43.0,76.2,80.3,78.6,79.0,78.9,models his hairstyle after George McFly.
44,Zachary Hicks,165.5,40.5,82.1,80.1,76.1,73.7,76.4,trains by skateboarding through Hill Valley’s town square.
45,Brandon Williams,196.3,23.5,78.4,71.9,73.0,65.4,68.6,refuses to play unless the stadium clock reads exactly 10:04.
46,Brian Burton,176.1,31.0,96.5,80.4,72.6,78.2,68.6,believes Goldie Wilson would’ve made a great football coach.
47,Ricky Henderson,167.4,48.0,80.3,79.0,70.9,77.2,77.8,trains by skateboarding through Hill Valley’s town square.
48,Arthur James,192.2,27.0,74.4,84.7,76.8,73.5,78.3,believes Goldie Wilson would’ve made a great football coach.
49,Zachary Rice,186.7,28.0,79.3,79.5,70.6,64.7,65.6,believes Goldie Wilson would’ve made a great football coach.
50,Wesley Valencia,174.6,33.0,89.6,85.8,84.7,86.2,74.5,can recite every line from Biff Tannen’s scenes.
51,Adam Le,193.6,41.0,80.9,84.3,79.3,74.1,76.1,once tried out for the Hill Valley High Enchantment Under the Sea dance band.
52,Michael Herrera,188.8,27.0,100.2,75.8,76.2,73.1,88.5,believes Goldie Wilson would’ve made a great football coach.
53,Derek Davidson,191.4,30.0,108.6,78.1,72.4,84.3,68.8,won his first trophy the same day the clock tower was struck by lightning.
54,Brian Graham,198.1,27.5,67.0,89.2,79.6,77.8,78.6,claims he met Doc Brown in a dream and received football advice.
55,Jesse Mckay,186.0,37.5,88.6,75.5,77.1,75.4,75.7,has a DeLorean-shaped locker.
56,Shawn Baker,196.8,42.0,81.8,79.5,70.8,73.5,77.5,won his first trophy the same day the clock tower was struck by lightning.
57,Jonathan White,198.2,29.0,77.0,72.3,84.5,84.4,76.3,insists his pre-game playlist includes only Huey Lewis and the News.
58,Thomas Harrell,186.6,36.0,69.3,89.0,75.5,82.6,79.7,models his hairstyle after George McFly.
59,Edwin Fowler,183.0,25.0,95.2,80.7,82.1,75.4,66.8,insists his pre-game playlist includes only Huey Lewis and the News.
60,Lee Hernandez,198.2,25.0,97.1,79.7,75.7,60.3,91.3,believes Goldie Wilson would’ve made a great football coach.
61,Phillip Ryan,189.3,45.0,92.6,84.0,69.7,71.5,75.5,once tried out for the Hill Valley High Enchantment Under the Sea dance band.
62,Richard Moreno,173.8,29.0,77.0,76.6,77.3,77.8,79.0,models his hairstyle after George McFly.
63,Aaron Nguyen,168.6,45.0,74.9,79.1,70.9,77.1,75.7,refuses to play unless the stadium clock reads exactly 10:04.
64,Alec Hickman,171.9,36.5,101.5,80.2,75.3,82.1,81.8,believes the number 88 brings him good luck.
65,Shawn Decker,180.4,30.0,70.2,76.1,75.7,73.0,75.8,insists his pre-game playlist includes only Huey Lewis and the News.
66,Eric Brown,172.1,33.0,80.8,76.6,70.1,72.1,75.6,once tried out for the Hill Valley High Enchantment Under the Sea dance band.
67,Shawn Arroyo,187.0,41.0,67.7,80.0,71.2,73.2,77.0,claims he met Doc Brown in a dream and received football advice.
68,Bradley Tucker,197.6,24.5,77.0,75.8,72.0,76.4,71.2,claims he met Doc Brown in a dream and received football advice.
69,Benjamin Hodges,173.3,31.0,98.7,88.6,71.4,58.8,88.1,wears a replica of Marty McFly’s vest during warmups.
70,Ralph Anderson,183.5,54.5,78.8,76.4,73.3,73.5,75.3,wears a replica of Marty McFly’s vest during warmups.
71,John Pierce,188.9,34.5,80.1,75.8,74.4,78.4,80.0,can recite every line from Biff Tannen’s scenes.
72,Derek Brennan,190.6,30.0,74.1,77.2,86.0,70.7,73.4,claims he met Doc Brown in a dream and received football advice.
73,Jay Lewis,194.3,53.0,68.9,81.2,76.6,73.5,77.3,wears a replica of Marty McFly’s vest during warmups.
74,Joshua Blair,190.9,44.0,77.1,78.9,75.3,72.5,75.7,models his hairstyle after George McFly.
75,Curtis Collins,173.0,23.0,105.4,71.3,73.9,53.8,64.0,insists his pre-game playlist includes only Huey Lewis and the News.
76,Zachary Santos,165.7,27.0,90.6,69.5,70.7,80.9,62.2,wears a replica of Marty McFly’s vest during warmups.
77,Jeffrey Holmes,199.8,27.5,95.3,76.9,74.9,79.1,67.6,practices his throws in the parking lot of Twin Pines Mall.
78,Bryan Walker,190.3,33.0,104.2,79.9,72.2,72.4,76.9,has a DeLorean-shaped locker.
79,George Chapman,184.1,37.5,86.6,82.5,78.3,71.4,73.6,trains by skateboarding through Hill Valley’s town square.
80,David Robinson,188.4,28.5,92.8,80.2,86.6,80.4,76.4,claims he met Doc Brown in a dream and received football advice.
81,Benjamin Welch,174.6,36.5,104.2,68.8,76.1,81.4,71.1,believes Goldie Wilson would’ve made a great football coach.
82,Darryl Whitehead,172.7,58.0,85.3,81.4,75.7,72.9,74.2,claims he met Doc Brown in a dream and received football advice.
83,Scott Jones,184.6,30.5,95.0,78.4,82.6,76.9,74.8,claims he met Doc Brown in a dream and received football advice.
84,David Caldwell,194.0,28.5,98.4,77.0,76.3,82.4,72.8,won his first trophy the same day the clock tower was struck by lightning.
85,Daniel Anderson,172.3,39.5,101.9,76.9,72.8,72.4,67.0,trains by skateboarding through Hill Valley’s town square.
86,Timothy Duncan,175.2,39.5,89.4,80.2,74.8,74.2,73.5,won his first trophy the same day the clock tower was struck by lightning.
87,John Mueller,193.8,38.5,98.0,84.4,85.3,87.0,72.6,can recite every line from Biff Tannen’s scenes.
88,Robert Lee,194.3,32.0,99.6,80.5,77.9,71.5,75.6,insists his pre-game playlist includes only Huey Lewis and the News.
89,Brent Jordan,191.7,44.0,67.5,82.0,73.5,74.2,72.8,practices his throws in the parking lot of Twin Pines Mall.
90,Jeff Owens,184.0,31.5,74.3,81.5,75.9,79.6,74.6,won his first trophy the same day the clock tower was struck by lightning.
91,Nicholas Nunez,176.2,47.5,74.7,82.8,80.8,74.7,73.1,refuses to play unless the stadium clock reads exactly 10:04.
92,William Garcia,166.9,49.9,90.9,77.9,73.3,75.5,77.2,believes the number 88 brings him good luck.
93,James Morgan,189.1,44.0,75.9,76.8,72.4,75.5,75.3,believes the number 88 brings him good luck.
94,Scott Wright,179.3,29.5,66.3,75.0,74.9,78.1,72.7,practices his throws in the parking lot of Twin Pines Mall.
95,Connor West,171.3,25.0,86.0,67.3,83.9,84.9,89.0,insists his pre-game playlist includes only Huey Lewis and the News.
96,Javier Ramirez,185.9,41.5,77.1,82.4,75.3,75.0,73.1,claims he met Doc Brown in a dream and received football advice.
97,David Leblanc,180.1,30.5,69.0,76.2,84.6,67.7,79.1,models his hairstyle after George McFly.
98,Jeremy Callahan,190.5,47.5,85.6,84.1,77.5,71.6,74.4,believes Goldie Wilson would’ve made a great football coach.
99,Joshua Williams,176.6,49.0,107.3,82.0,75.0,76.0,74.6,trains by skateboarding through Hill Valley’s town square.
100,Zachary Huff,174.1,26.0,68.5,86.6,78.0,69.4,73.1,models his hairstyle after George McFly.
101,Wayne House,197.8,45.5,104.4,80.6,72.8,78.2,76.4,claims he met Doc Brown in a dream and received football advice.
102,Samuel Martin,192.1,21.5,96.0,75.6,79.6,89.4,78.0,can recite every line from Biff Tannen’s scenes.
103,John Lewis,171.2,25.5,72.0,72.2,67.4,80.4,82.9,claims he met Doc Brown in a dream and received football advice.
104,James Brown,165.3,36.5,69.6,73.8,69.9,82.4,73.3,has a DeLorean-shaped locker.
105,James Galloway,179.6,39.0,86.8,79.4,74.9,76.1,72.1,models his hairstyle after George McFly.
106,Derek Bowers,177.3,34.5,88.2,74.2,67.0,72.8,76.4,trains by skateboarding through Hill Valley’s town square.
107,Jesse Henderson,186.1,32.0,108.5,78.0,76.5,75.2,74.4,believes the number 88 brings him good luck.
108,Tyler Cowan,178.4,55.5,84.1,80.7,75.1,75.1,76.4,insists his pre-game playlist includes only Huey Lewis and the News.
109,Justin Higgins,199.5,32.5,80.8,73.8,86.1,73.6,81.7,practices his throws in the parking lot of Twin Pines Mall.
110,Christopher Phillips,188.7,21.5,87.6,84.1,65.4,78.0,71.9,models his hairstyle after George McFly.
111,Wayne Riley,189.1,33.5,89.2,75.3,84.6,63.4,68.1,believes Goldie Wilson would’ve made a great football coach.
112,Joshua Adkins,169.1,25.5,76.6,83.1,73.5,74.9,77.4,wears a replica of Marty McFly’s vest during warmups.
113,Anthony Silva,191.7,28.5,64.4,76.8,67.5,83.0,78.5,refuses to play unless the stadium clock reads exactly 10:04.
114,Jonathan Farrell,181.8,58.0,93.0,79.3,75.0,79.3,72.4,believes the number 88 brings him good luck.
115,Christopher Yu,176.7,33.5,70.6,84.9,74.1,82.3,69.9,trains by skateboarding through Hill Valley’s town square.
116,Bobby Lopez,196.9,28.0,93.5,89.1,70.8,64.9,73.4,refuses to play unless the stadium clock reads exactly 10:04.
117,Kurt Leonard,175.9,34.5,78.2,84.6,72.6,89.6,71.4,can recite every line from Biff Tannen’s scenes.
118,David Wilson,197.7,43.2,72.4,81.8,75.1,73.9,73.9,believes Goldie Wilson would’ve made a great football coach.
119,Steve Sanchez,179.6,28.0,78.2,81.4,75.7,78.5,76.0,can recite every line from Biff Tannen’s scenes.
120,Kristopher Harvey,197.1,31.5,104.2,82.8,67.2,68.0,72.5,won his first trophy the same day the clock tower was struck by lightning.
121,Jason Silva,165.1,46.0,104.1,78.8,78.0,76.8,76.0,can recite every line from Biff Tannen’s scenes.
122,Joseph Donovan,181.1,48.5,105.8,77.1,79.3,72.5,73.2,refuses to play unless the stadium clock reads exactly 10:04.
123,Dan Moran,187.7,33.5,88.3,82.6,87.0,71.7,93.4,once tried out for the Hill Valley High Enchantment Under the Sea dance band.
124,David Foster,169.7,31.5,66.0,73.6,83.4,66.3,75.3,won his first trophy the same day the clock tower was struck by lightning.
125,Michael Evans,166.3,35.5,66.6,78.1,72.3,78.0,74.6,has a DeLorean-shaped locker.
126,Eugene Walton,197.3,32.0,106.2,79.7,77.5,75.4,76.4,has a DeLorean-shaped locker.
127,Benjamin Ellis,188.0,56.0,68.7,79.4,75.9,75.3,73.8,won his first trophy the same day the clock tower was struck by lightning.
128,Zachary Ferrell,191.4,22.5,97.4,71.8,90.6,75.8,78.8,refuses to play unless the stadium clock reads exactly 10:04.
129,Benjamin Lewis,186.3,31.5,82.8,81.9,72.5,74.3,75.3,wears a replica of Marty McFly’s vest during warmups.
130,Derek Mahoney,192.8,28.5,68.0,78.4,75.0,80.7,79.0,refuses to play unless the stadium clock reads exactly 10:04.
131,Stanley Suarez,177.5,29.5,106.0,82.5,80.0,72.3,67.9,has a DeLorean-shaped locker.
132,Jacob Moore,171.3,43.0,91.6,80.4,75.5,75.0,72.1,wears a replica of Marty McFly’s vest during warmups.
133,Roy Warner,178.9,38.5,98.3,85.1,74.1,78.1,73.8,models his hairstyle after George McFly.
134,Logan Archer,170.4,22.5,79.8,78.6,72.5,75.8,78.4,practices his throws in the parking lot of Twin Pines Mall.
135,Matthew Smith,168.4,47.3,103.2,79.7,73.6,75.7,76.8,practices his throws in the parking lot of Twin Pines Mall.
136,Robert Evans,180.1,42.5,100.3,80.6,76.9,68.8,73.9,won his first trophy the same day the clock tower was struck by lightning.
137,Matthew Mcmillan,199.1,25.5,96.2,81.7,74.2,70.6,73.4,practices his throws in the parking lot of Twin Pines Mall.
138,Chad Wilson,181.6,32.5,81.4,87.1,70.9,75.0,81.0,wears a replica of Marty McFly’s vest during warmups.
139,Brian Tran,168.3,51.0,106.0,80.2,75.1,73.7,77.3,won his first trophy the same day the clock tower was struck by lightning.
140,Dominic Jacobs,191.8,47.0,101.2,79.3,76.0,77.6,72.1,believes the number 88 brings him good luck.
141,Mitchell Harris,174.7,38.5,81.0,77.5,71.3,74.4,71.4,won his first trophy the same day the clock tower was struck by lightning.
142,Mark Baker,192.2,33.0,104.1,80.8,80.9,75.9,74.5,claims he met Doc Brown in a dream and received football advice.
143,John Whitehead,194.0,33.0,90.1,80.4,75.7,73.0,74.8,has a DeLorean-shaped locker.
144,Ryan Davis,186.5,49.2,105.1,79.9,76.0,71.8,74.3,practices his throws in the parking lot of Twin Pines Mall.
145,Jeff Hill,186.5,35.5,106.9,77.3,78.1,74.7,74.1,claims he met Doc Brown in a dream and received football advice.
146,Aaron Wise,196.0,35.5,86.5,74.2,80.1,80.2,80.8,can recite every line from Biff Tannen’s scenes.
